surface,route,file,display_name,purpose,persona,tier,layout_pattern,nav_entry,status,visual_issues,ia_issues,refactor_priority,notes
web,/,app/page.tsx,(redirect),Redirect raiz para /login,Anonimo,Always-on,Redirect,deep link,active,0,0,low,TODO Firebase session detection comentado
web,/login,app/login/page.tsx,Entrar,Login com hero desktop e form,Anonimo,Always-on,Landing,/criar-conta link e quero-criar-klub link,active,5 text-[Npx] + boxShadow inline,vocab "vida do clube" linha 84,medium,5 text-[Npx] hardcoded; HSL via CSS vars (ok)
web,/criar-conta,app/criar-conta/page.tsx,Criar conta,Signup publico clone visual de /login,Anonimo,Always-on,Landing,/login link CTA,active,4 text-[Npx],vocab "vida do clube" linha 77,medium,Clone /login
web,/recuperar-senha,app/recuperar-senha/page.tsx,Esqueceu a senha,Password reset Firebase,Anonimo,Always-on,Form,/login link,active,7 text-[Npx] + 2 rounded-[10px] + form 100% inline,back-link inline (sem PageHeader),high,Form publico precisa adotar primitivos
web,/quero-criar-klub,app/quero-criar-klub/page.tsx,Quero criar um Klub,Sales form B2B,Anonimo,Always-on,Form,/login link,active,7 text-[Npx] + 6 rounded-[10px] + text-[10.5px] absurdo,tom comercial OK,high,Section/Field helpers locais bons mas styling hardcoded
web,/convite/[klubSlug],app/convite/[klubSlug]/page.tsx,(dinamico klub.name),Aceitar convite publico idempotente,Anonimo->Player,Always-on,Form,deep link de email,active,7 text-[Npx] + 1 rounded-[10px] + text-[11.5px] absurdo,?,high,Loading e join states bem estruturados
web,/criar-klub,app/(authed)/criar-klub/page.tsx,Criar Klub,Wizard 4-step novo Klub,Player ou Klub Admin,Always-on,Wizard,/home ou /klubs,active,rounded-[10px] inputs (legacy _components) + buttons inline,3 estados CNPJ lookup OK,medium,PR-L5 ja modernizou shell; _components ainda hardcoded
web,/criar-klub/sucesso,app/(authed)/criar-klub/sucesso/page.tsx,Solicitacao Enviada,Confirmacao pos-cadastro,Ambos,Always-on,Confirmation,auto-redirect de /criar-klub,active,text-[hsl(142_71%_32%)] linha 28 + style inline + text sizes mistos,Suspense fallback null mute,low,Tom polido
web,/home,app/(authed)/home/page.tsx,Home,Landing pos-login dashboard,Ambos,Always-on,Dashboard,redirect / quando authed e sidebar,active,text-[10px] + style border-radius inline + style hsl em KlubAvatar,vocab "clube" linha 172 + 4 estados hasKlubs,medium,KPI panels bem feitos
web,/klubs,app/(authed)/klubs/page.tsx,Meus Klubs,Hub Buscar/Criar Klubs,Ambos,Always-on,List,sidebar Klubs,active,2 buttons inline mix bg-primary + empty inline,CTAs duplicados em /home,low,Empty state pode usar primitivo
web,/buscar-klubs,app/(authed)/buscar-klubs/page.tsx,Buscar Klubs,Discovery filtros e tier badges,Player,Always-on,List,/home atalho ou /klubs,active,back-link inline + rounded-[10px] + bg-card/40 + ring-[3px] + period buttons inline + RequestMembershipModal inline 509-556,5 estados de geo + 4 content states verbose,high,Maior pagina sem refator (717 linhas)
web,/minhas-reservas,app/(authed)/minhas-reservas/page.tsx,Reservas,Cross-Klub bookings tabs e actions,Player,Always-on,List,sidebar Reservas e FAB Reservar,active,bg-[hsl(142_71%_32%/0.05)] + 3 modais inline (386-419 e 694-721) + rounded-[10px] + bg-amber-500/15 + border-l-2 border-primary/30,TabButton local reinventa Tabs + 3 actions sem button primitive,high,790 linhas; 3 modais distintos pra extrair
web,/notificacoes,app/(authed)/notificacoes/page.tsx,Notificacoes,Pending match confirmations rankings,Player,Always-on,List,sidebar Notificacoes,active,back-link inline + cores amber hardcoded 173-187,Disputar disabled sem hint visual,medium,3 cores amber hardcoded
